state,window_date,window_days,winning_size,frequency,population_variance
ARUNACHAL PRADESH,2022-04-11,10,XS,6,73984.55555555562
ARUNACHAL PRADESH,2022-04-12,10,XS,6,73984.55555555562
ARUNACHAL PRADESH,2022-04-13,10,XS,7,65188.40816326521
ARUNACHAL PRADESH,2022-04-14,10,XS,5,50528.55999999994
ARUNACHAL PRADESH,2022-04-15,10,XS,6,71183.91666666663
ARUNACHAL PRADESH,2022-04-16,10,S,6,7453.138888888934
ARUNACHAL PRADESH,2022-04-17,10,S,6,7453.138888888934
ARUNACHAL PRADESH,2022-04-18,10,S,6,7453.138888888934
ARUNACHAL PRADESH,2022-04-19,10,S,6,7453.138888888934
ARUNACHAL PRADESH,2022-04-20,10,S,5,8168.560000000056
ARUNACHAL PRADESH,2022-04-21,10,S,5,8168.560000000056
ARUNACHAL PRADESH,2022-04-22,10,S,5,8168.560000000056
ARUNACHAL PRADESH,2022-04-23,10,S,5,8168.560000000056
ARUNACHAL PRADESH,2022-04-24,10,S,5,8168.560000000056
ARUNACHAL PRADESH,2022-04-25,10,M,3,12846.888888888876
ARUNACHAL PRADESH,2022-04-26,10,M,5,20265.360000000044
ARUNACHAL PRADESH,2022-04-27,10,M,5,20265.360000000044
ARUNACHAL PRADESH,2022-04-28,10,M,4,21039.25
ARUNACHAL PRADESH,2022-04-29,10,M,4,21039.25
ARUNACHAL PRADESH,2022-04-30,10,3XL,2,3025.0
ARUNACHAL PRADESH,2022-05-01,10,M,2,26406.25
ARUNACHAL PRADESH,2022-05-02,10,M,2,26406.25
ARUNACHAL PRADESH,2022-05-03,10,L,2,2500.0
ARUNACHAL PRADESH,2022-05-04,10,L,2,2500.0
ARUNACHAL PRADESH,2022-05-05,10,L,4,50444.1875
ARUNACHAL PRADESH,2022-05-06,10,L,5,53419.83999999997
ARUNACHAL PRADESH,2022-05-07,10,L,6,63489.33333333337
ARUNACHAL PRADESH,2022-05-08,10,L,6,63489.33333333337
ARUNACHAL PRADESH,2022-05-09,10,L,6,63489.33333333337
ARUNACHAL PRADESH,2022-05-10,10,L,6,63489.33333333337
ARUNACHAL PRADESH,2022-05-11,10,L,10,90939.60999999999
ARUNACHAL PRADESH,2022-05-12,10,L,10,90939.60999999999
ARUNACHAL PRADESH,2022-05-13,10,L,9,97101.58024691348
ARUNACHAL PRADESH,2022-05-14,10,L,9,97101.58024691348
ARUNACHAL PRADESH,2022-05-15,10,L,7,100209.6326530613
ARUNACHAL PRADESH,2022-05-16,10,L,6,107694.66666666663
ARUNACHAL PRADESH,2022-05-17,10,L,5,91787.6000000001
ARUNACHAL PRADESH,2022-05-18,10,L,5,91787.6000000001
ARUNACHAL PRADESH,2022-05-19,10,L,5,91787.6000000001
ARUNACHAL PRADESH,2022-05-20,10,L,5,91787.6000000001
ARUNACHAL PRADESH,2022-05-21,10,M,5,55592.24000000011
ARUNACHAL PRADESH,2022-05-22,10,M,5,55592.24000000011
ARUNACHAL PRADESH,2022-05-23,10,M,5,27510.96000000008
ARUNACHAL PRADESH,2022-05-24,10,M,7,67434.40816326527
ARUNACHAL PRADESH,2022-05-25,10,M,7,67434.40816326527
ARUNACHAL PRADESH,2022-05-26,10,M,6,78405.2222222223
